,Year,Month,India News-Based Policy Uncertainty Index
163,2016,8.0,41.014217376708984
164,2016,9.0,32.88368606567383
165,2016,10.0,38.68679428100586
166,2016,11.0,72.80564880371094
167,2016,12.0,117.88623809814453
168,2017,1.0,84.12655639648438
169,2017,2.0,137.4004364013672
170,2017,3.0,65.6751937866211
171,2017,4.0,81.3338394165039
172,2017,5.0,39.26336669921875
173,2017,6.0,59.06988525390625
174,2017,7.0,62.02988052368164
175,2017,8.0,37.68947219848633
176,2017,9.0,78.03064727783203
177,2017,10.0,83.3947525024414
178,2017,11.0,62.91197967529297
179,2017,12.0,81.98847198486328
180,2018,1.0,39.42573928833008
181,2018,2.0,79.90937805175781
182,2018,3.0,42.035430908203125
183,2018,4.0,34.92319869995117
184,2018,5.0,37.556758880615234
185,2018,6.0,47.165748596191406
186,2018,7.0,63.24722671508789
