,Year,Month,Mexican Policy Uncertainty Index
82,2002,11.0,178.85691833496094
83,2002,12.0,168.95692443847656
84,2003,1.0,369.9570007324219
85,2003,2.0,364.0762634277344
86,2003,3.0,428.7254333496094
87,2003,4.0,234.8072967529297
88,2003,5.0,139.31793212890625
89,2003,6.0,89.69628143310547
90,2003,7.0,112.15218353271484
91,2003,8.0,113.35598754882812
92,2003,9.0,101.91693878173828
93,2003,10.0,80.29391479492188
94,2003,11.0,158.12442016601562
95,2003,12.0,235.26995849609375
96,2004,1.0,130.34768676757812
97,2004,2.0,86.73387908935547
98,2004,3.0,86.3682632446289
99,2004,4.0,80.9578857421875
100,2004,5.0,131.6587677001953
101,2004,6.0,57.19775390625
102,2004,7.0,96.35328674316406
103,2004,8.0,64.06902313232422
104,2004,9.0,43.78815460205078
105,2004,10.0,110.62260437011719
106,2004,11.0,122.51590728759766
107,2004,12.0,114.9623794555664
108,2005,1.0,109.54150390625
109,2005,2.0,61.47756576538086
110,2005,3.0,46.86774444580078
111,2005,4.0,165.1391143798828
112,2005,5.0,87.64537048339844
113,2005,6.0,54.37202453613281
114,2005,7.0,86.1655502319336
115,2005,8.0,74.61248016357422
116,2005,9.0,64.46265411376953
117,2005,10.0,101.85326385498047
118,2005,11.0,52.535457611083984
119,2005,12.0,64.6631851196289
120,2006,1.0,70.89008331298828
121,2006,2.0,31.337627410888672
122,2006,3.0,72.82233428955078
123,2006,4.0,62.48423767089844
124,2006,5.0,75.97654724121094
125,2006,6.0,107.51696014404297
126,2006,7.0,85.0384521484375
127,2006,8.0,73.08830261230469
128,2006,9.0,35.39987564086914
129,2006,10.0,39.09672164916992
130,2006,11.0,51.20937728881836
131,2006,12.0,34.39215087890625
132,2007,1.0,36.19042205810547
133,2007,2.0,40.19172286987305
134,2007,3.0,32.9169807434082
135,2007,4.0,8.5089750289917
136,2007,5.0,85.21693420410156
137,2007,6.0,89.33470916748047
138,2007,7.0,44.0255241394043
139,2007,8.0,93.70980834960938
140,2007,9.0,69.6211166381836
141,2007,10.0,66.78520202636719
142,2007,11.0,67.2228775024414
143,2007,12.0,90.0562973022461
144,2008,1.0,107.6443862915039
145,2008,2.0,49.85234451293945
146,2008,3.0,49.72801971435547
147,2008,4.0,63.56647872924805
148,2008,5.0,51.38188552856445
149,2008,6.0,71.72769165039062
150,2008,7.0,63.077579498291016
151,2008,8.0,65.43401336669922
152,2008,9.0,86.68492889404297
153,2008,10.0,149.6317596435547
154,2008,11.0,112.3501205444336
155,2008,12.0,105.62921905517578
156,2009,1.0,126.59033966064453
157,2009,2.0,185.57083129882812
158,2009,3.0,95.41921997070312
159,2009,4.0,63.58184814453125
160,2009,5.0,57.85118103027344
161,2009,6.0,58.05732727050781
162,2009,7.0,35.303707122802734
163,2009,8.0,41.52626037597656
164,2009,9.0,77.92684173583984
165,2009,10.0,85.38107299804688
166,2009,11.0,60.357112884521484
167,2009,12.0,57.1385612487793
168,2010,1.0,102.57677459716797
169,2010,2.0,42.24798583984375
170,2010,3.0,41.27140426635742
171,2010,4.0,86.82881927490234
172,2010,5.0,115.21094512939453
173,2010,6.0,45.00507736206055
