,year,month,Brazil News-Based EPU
58,1995,11.0,74.45338439941406
59,1995,12.0,61.93418502807617
60,1996,1.0,39.87179183959961
61,1996,2.0,14.630122184753418
62,1996,3.0,67.86368560791016
63,1996,4.0,72.42980194091797
64,1996,5.0,62.983917236328125
65,1996,6.0,70.79920959472656
66,1996,7.0,49.002872467041016
67,1996,8.0,29.649341583251953
68,1996,9.0,18.508277893066406
69,1996,10.0,91.75434112548828
70,1996,11.0,66.43714141845703
71,1996,12.0,50.509429931640625
72,1997,1.0,45.348419189453125
73,1997,2.0,58.59738540649414
74,1997,3.0,52.28419876098633
75,1997,4.0,56.69753646850586
76,1997,5.0,42.34241485595703
77,1997,6.0,72.25654602050781
78,1997,7.0,42.38841247558594
79,1997,8.0,38.200408935546875
80,1997,9.0,72.29671478271484
81,1997,10.0,38.866310119628906
82,1997,11.0,123.92131805419922
83,1997,12.0,127.45602416992188
84,1998,1.0,91.31593322753906
85,1998,2.0,53.304012298583984
86,1998,3.0,53.72603988647461
87,1998,4.0,37.662681579589844
88,1998,5.0,43.40617752075195
89,1998,6.0,92.3095474243164
90,1998,7.0,40.217002868652344
91,1998,8.0,114.55647277832031
92,1998,9.0,170.30081176757812
93,1998,10.0,71.36449432373047
94,1998,11.0,110.05086517333984
95,1998,12.0,98.40010833740234
96,1999,1.0,189.15858459472656
97,1999,2.0,128.01707458496094
98,1999,3.0,75.83777618408203
99,1999,4.0,65.80963897705078
100,1999,5.0,52.723793029785156
101,1999,6.0,71.0073471069336
102,1999,7.0,80.2437744140625
103,1999,8.0,35.25665283203125
104,1999,9.0,62.94440460205078
105,1999,10.0,96.94046020507812
106,1999,11.0,52.28419876098633
107,1999,12.0,49.519832611083984
108,2000,1.0,54.60319900512695
109,2000,2.0,41.26398468017578
110,2000,3.0,73.60725402832031
111,2000,4.0,96.34906005859375
112,2000,5.0,189.96852111816406
113,2000,6.0,106.87265014648438
114,2000,7.0,54.11724853515625
115,2000,8.0,99.4903335571289
116,2000,9.0,103.9327392578125
117,2000,10.0,113.8622817993164
118,2000,11.0,73.12444305419922
119,2000,12.0,85.99126434326172
120,2001,1.0,81.49234771728516
121,2001,2.0,96.22920227050781
122,2001,3.0,70.21607971191406
123,2001,4.0,112.87908172607422
124,2001,5.0,61.965476989746094
125,2001,6.0,81.89142608642578
126,2001,7.0,121.69317626953125
127,2001,8.0,146.82933044433594
128,2001,9.0,136.9972686767578
129,2001,10.0,145.02423095703125
130,2001,11.0,88.78569030761719
131,2001,12.0,133.19180297851562
132,2002,1.0,97.4701919555664
133,2002,2.0,78.3807373046875
134,2002,3.0,100.64716339111328
135,2002,4.0,100.32747650146484
136,2002,5.0,139.57948303222656
137,2002,6.0,163.80960083007812
138,2002,7.0,107.62496948242188
139,2002,8.0,172.3941192626953
140,2002,9.0,154.32513427734375
141,2002,10.0,128.6572723388672
142,2002,11.0,112.78749084472656
143,2002,12.0,128.03456115722656
144,2003,1.0,88.15092468261719
145,2003,2.0,120.28104400634766
146,2003,3.0,133.688720703125
147,2003,4.0,96.79193115234375
148,2003,5.0,85.23052978515625
149,2003,6.0,56.87833023071289
150,2003,7.0,89.6153793334961
151,2003,8.0,136.32252502441406
152,2003,9.0,54.8719596862793
153,2003,10.0,125.5422592163086
154,2003,11.0,223.95843505859375
155,2003,12.0,84.5981216430664
156,2004,1.0,134.20730590820312
157,2004,2.0,255.6013946533203
158,2004,3.0,89.18522644042969
159,2004,4.0,110.46188354492188
160,2004,5.0,125.35404968261719
161,2004,6.0,136.05679321289062
162,2004,7.0,52.62700271606445
163,2004,8.0,61.805419921875
