Date,IMOEX.ME,XU100.IS,^BSESN,^BVSP,^JKSE,^MXX
2015-05-06,1714.31005859375,82441.3984375,26717.369140625,57103.0,5184.79638671875,44853.26171875
2015-05-07,1686.97998046875,82570.203125,26599.109375,56921.0,5150.3330078125,44768.80078125
2015-05-08,1708.52001953125,84059.8984375,27105.390625,57149.0,5182.05908203125,45125.94921875
2015-05-11,,84752.796875,27507.30078125,57197.0,5172.328125,45179.96875
2015-05-12,1704.6199951171875,85363.5,26877.48046875,56792.0,5205.45703125,44950.48828125
2015-05-13,1682.260009765625,86417.5,27251.099609375,56372.0,5245.97705078125,45038.140625
2015-05-14,1677.5699462890625,87243.703125,27206.060546875,56657.0,,45271.4609375
2015-05-15,1691.4599609375,87604.8984375,27324.0,57249.0,5226.94091796875,45332.80078125
2015-05-18,1678.550048828125,88651.8984375,27687.30078125,56204.0,5237.65576171875,45408.33984375
2015-05-19,1659.3599853515625,,27645.529296875,55499.0,5269.21484375,45311.75
2015-05-20,1636.8599853515625,87791.1015625,27837.2109375,54901.0,5292.591796875,45283.46875
2015-05-21,1659.3299560546875,86565.0,27809.349609375,55112.0,5313.05029296875,45097.390625
2015-05-22,1665.6600341796875,85803.8984375,27957.5,54377.0,5314.9951171875,44874.0390625
2015-05-25,1655.4000244140625,84567.0,27643.880859375,54609.0,5288.20458984375,44852.2890625
2015-05-26,1651.6600341796875,83649.3984375,27531.41015625,53630.0,5320.74267578125,44401.3984375
2015-05-27,1660.97998046875,84292.0,27564.66015625,54236.0,5253.23193359375,44682.58984375
2015-05-28,1657.6199951171875,83569.6015625,27506.7109375,53976.0,5237.24560546875,44807.30859375
2015-05-29,1609.18994140625,82981.1015625,27828.439453125,52760.0,5216.22412109375,44703.62109375
2015-06-01,1616.93994140625,80429.1015625,27848.990234375,53031.0,5213.6611328125,44760.1015625
2015-06-02,1643.4100341796875,81420.203125,27188.380859375,54236.0,,44931.48046875
2015-06-03,1628.8699951171875,83393.6015625,26837.19921875,53523.0,5130.3466796875,44732.71875
2015-06-04,1638.0699462890625,82499.0,26813.419921875,,5095.66943359375,44561.109375
